name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
France	ꃔꇩ,프랑스,フランス,ፈረንሣይ,ፈረንሳይ,បារាំង,ଫ୍ରାନ୍ସ,ފަރަންސޭސިވިލާތް,ປະເທດຝະລັ່ງ,ประเทศฝรั่งเศส,An Fhrainc,An Fhraing,Bro-C'hall,Bufalansa,Dáághahii Dinéʼiʼ Bikéyah,Falanisē,Falansia,Faraas,Farani,Farāni,Faransa,Faransi,Faransiiska,Farânzi,Fazgoz,Ffrainc,Fora,Frakkland,Frakland,Franca,França,Francia,Franciaország,Francie,Francija,Francja,Francujo,Francuska,Francúzsko,Franis,Frankräich,Frankreich,Frankriek,Frankrig,Frankrigi,Frankriika,Frankrijk,Frankrike,Frankryk,Frans,Fransa,Fransän,Fránsì,Fransiya,Fransiýa,Franța,Frantsa,Frantscha,Frantza,Frantzia,Franza,Frɛnkyeman,Fwalansa,Hyãsia,IFulansi,Perancis,Pháp,Phransiya,Pow Frynk,Prancis,Prancūzija,Pransiya,Prant,Prantsusmaa,Ransiya,Ranska,République française,Ubaranja,Ubufaransa,Ufaransa,Wīwī,Yn Rank,فرانس,فرٛانس,فرانسه,فرانسىيە,فرنسا,פראנקרייך,צרפת,Γαλλία,Фаронса,Франкїꙗ,Франц,Франци,Франција,Франция,Франція,Француска,Францыя,ཕརཱནསི་,ཧྥ་རན་སི།,Ֆրանսիա,საფრანგეთი,फ्रान्स,फ़्रान्स,फ्रान्सदेशः,ફ્રાન્સ,ఫ్రాన్స్,ਫ੍ਰਾਂਸ,ಫ್ರಾನ್ಸ್,பிரான்சு,ഫ്രാൻസ്,ফ্রান্স,ফ্ৰান্স,ပြင်သစ်နိုင်ငံ,ප්‍රංශය,法國	relation	2202162	boundary	administrative	1.8753098	46.7995347	4	0.961222686348661					France	fr	France	-5.225	41.333	9.55	51.2	Q142	fr:France	
United States of America	미국,ᐊᒥᐊᓕᑲ,އެމެރިކާ,የተባበሩት የአሜሪካ ግዛቶች,สหรัฐอเมริกา,ଯୁକ୍ତରାଷ୍ଟ୍ର ଆମେରିକା,សហរដ្ឋអាមេរិក,ສະຫະລັດອາເມລິກາ,ÂKödörö-ôko tî Amerîka,Ameerika Ühendriigid,Amereka,Amerihká ovttastuvvan stáhtat,Amerika Birleşik Devletleri,Amerika Birləşmiş Ştatları,Amerikai Egyesült Államok,Amerika ka Kelenyalen Jamanaw,Amerikan yhdysvallat,Amerikanyň Birleşen Ştatlary,Amerika Qoʻshma Shtatlari,Amérika Sarékat,Amérika Sarikat,Amerika Serikat,Amerikas Forenede Stater,Amerikas Förenta Stater,Amerikas forente stater,Amerikas Savienotās Valstis,Amerika Syarikat,Ameriketako Estatu Batuak,Àwọn Ìpínlẹ̀ Aṣọ̀kan Amẹ́ríkà,Bandaríki Norður-Ameríku,Civitates Foederatae Americae,Dewletên Yekbûyî yên Amerîkayê,Diwaan-yu-Bennoo yu Aamerig,Dowlaaji Dentuɗi,Eben Merika,Estados Unidos,Estados Unidos da América,Estados Unidos de América,Estatos Unitos d'America,Estats Unis d' Amerike,Estats Units d'America,Estats Units d'Amèrica,États-Unis d'Amérique,Etazini,Etazonia,Fenua Marite,Feriene Steaten fan Amearika,Hoa Kỳ,Hononga-o-Amerika,Hukllachasqa Amirika Suyukuna,IMelika,Istados Unidos de America,Istadus Unidus,Iunaite Sitete o Amerika,IYunayithedi Steyitsi,Iамерка пачхьалк,Jungtinės Amerikos Valstijos,kunkiyar taraiyar Amurika,Lamerikän,Leta Zunze Ubumwe za Amerika,Leta Zunze Ubumwe z’Amerika,Lisangá lya Ameríka,Mareykanka,Meijgoz,Muungano wa Madola ya Amerika,Naalagaaffeqatigiit,Na Stàitean Aonaichte,Njikota Obodo Amerika,Puleʻanga Fakataha 'o 'Amelika,Sambandsríkið Amerika,Shtetet e Bashkuara të Amerikës,Sjedinjene Američke Države,Spojené státy americké,Spojené štáty americké,Stadis Unids da l'America,Stadoù-Unanet Amerika,Stáit Aontaithe Mheiriceá,Stany Zjednoczone Ameryki,Statele Unite ale Americii,Stati Uniti d'America,Stati Uniti tal-Amerika,Statos Unite de America,Statys Unys Amerika,Steatyn Unnaneysit America,Tetã peteĩ reko Amérikagua,Unionita Stati di Amerika,United States,Unit States de America,Unol Daleithiau America,USA,Usono,Vereenegt Staate vun Amerika,Vereinegde State van Amerika,Vereinigte Staaten von Amerika,Verenigde Staten van Amerika,Verenigde State van Amerika,Wááshindoon Bikéyah Ałhidadiidzooígíí,Yunaeted Stet blong Amerika,Združene države Amerike,ایالات متحده آمریکا,الولايات المتّحدة الأمريكيّة,آمريڪا,د امريکا متحده ايالات,ریاستہائے متحدہ امریکہ,ئامېرىكا قوشما شتاتلىرى,ארצות הברית,פאראייניקטע שטאטן פון אמעריקע,Ηνωμένες Πολιτείες της Αμερικής,Америкæйы Иугонд Штаттæ,Америкăри Пĕрлешӳллĕ Штатсем,Америка Еиду Аштатқәа,Америка Кошмо Штаттары,Америка Құрама Штаттары,Америка Кушма Штатлары,Америка Ҡушма Штаттары,Америкалъул Цолъарал Штатал,Америкаса Ӧтувтӧм Штатъяс,Америкийн Нэгдсэн Улс,Амєрика́ньскꙑ Ѥдьнѥнꙑ́ Дрьжа́вꙑ,Злучаныя Штаты Амерыкі,Иёлоти Муттаҳидаи Амрико,Сједињене Америчке Државе,Соединети Американски Држави,Соединённые Штаты Америки,Сполучені Штати Америки,Съединени американски щати,ཡུ་ནའིཊེཊ་སི་ཊེས,ཨ་མེ་རི་ཁ་རྒྱལ་ཕྲན་མཉམ་འབྲེལ་རྒྱལ་ཁབ།,Ամերիկայի Միացյալ Նահանգներ,ამერიკის შეერთებული შტატები,अमेरिकेची संयुक्त संस्थाने,संयुक्त राज्‍य अमेरिका,संयुक्त राज्य अमेरिका,संयुक्तानि राज्यानि,સંયુક્ત રાજ્ય અમેરિકા,అమెరికా సంయుక్త రాష్ట్రాలు,ਸੰਯੁਕਤ ਰਾਜ ਅਮਰੀਕਾ,ಅಮೇರಿಕ ಸಂಯುಕ್ತ ಸಂಸ್ಥಾನ,அமெரிக்க ஐக்கிய நாடு,അമേരിക്കന്‍ ഐക്യനാടുകള്‍,মার্কিন যুক্তরাষ্ট্র,মাৰ্কিন যুক্তৰাষ্ট্ৰ,အမေရိကန်ပြည်ထောင်စု,අ'මෙරිකා‍වේ එක්සත් රාජ්‍යයන්,アメリカ合衆国,美利坚合众国	relation	148838	boundary	administrative	-99.0090672	36.8184300	4	0.944692348397998					United States of America	us	United States of America	144.4129186	-14.7608359	-64.3554900	71.6048216	Q30	en:United States	
Germany	독일,ᔮᒪᓂ,ドイツ,ጀርመን,ଜର୍ମାନୀ,ޖަރުމަނުވިލާތް,អាល្លឺម៉ង់,ประเทศเยอรมนี,ປະເທດເຢັຽລະມັນ,A' Ghearmailt,Alamagn,Alemaina,Alemaña,Alemanha,Alémani,Alemania,Alemanya,Alemanyi,Alimaña,Alimanya,Allemagne,Almaañ,Almaanya,Almagne,Almaniya,Almanya,Almay,Almayn,An Ghearmáin,Béésh Bichʼahii Bikéyah,Bundesrepublik Deutschland,Däitschland,Deutän,Deutschland,Djermani,Đức,Duiska,Duitsland,Dútslân,Duutsjlandj,Dwzgoz,Germania,Germània,Germaniýa,Ġermanja,Germanujo,Girimane,Gjermania,Gyaaman,Heremani,IJalimane,IJalimani,IJamani,Jamus,Jarimani,Jarmalka,Jẹ́mánì,Jémanị,Jerman,Jérman,Jermani,Nemačka,Nemčija,Nemecko,Německo,Németország,Niemcy,Njemačka,Olmoniya,Saksa,Saksamaa,Siamani,Tiamana,Tyskit Nunaat,Tyskland,Týskland,Ubudage,Ubudagi,Ujerumani,Vācija,Vokietija,Yn Ghermaan,Yr Almaen,Þýskaland,آلمان,ألمانيا,جرمنی,گېرمانىيە,גרמניה,דייטשלאנד,Γερμανία,Алмания,Алмантәыла,Герман,Германи,Германија,Германия,Германия Федеративтік Республикасы,Германія,Немачка,Німеччина,Нѣмьци,Олмон,ཇཱར་མ་ནི,འཇར་མན།,Գերմանիա,გერმანია,जर्मनी,જર્મની,జర్మనీ,ਜਰਮਨੀ,ಜರ್ಮನಿ,செருமனி,ജർമ്മനി,জার্মানি,ဂျာမနီနိုင်ငံ,ජර්මනිය,德国	relation	51477	boundary	administrative	10.5917075	51.1850012	4	0.930641126934625					Germany	de	Germany	5.8663153	47.2701114	15.0419319	55.0991610	Q183	de:Deutschland	
Italy	ᐃᑕᓖ,ጣልያን,イタリア,이탈리아,ଇଟାଲୀ,ອິຕາລີ,អ៊ីតាលី,އިޓަލީވިލާތް,ประเทศอิตาลี,An Eadailt,An Iodáil,Ídelii,INtaliyane,Itaali,Itaalia,Itaalje,Itåleye,Itali,Italia,Itália,Itàlia,Ítalía,Itálíà,Italie,Itálie,Italië,Italien,Italija,Itālija,Italiya,ITaliya,İtaliya,Italiýa,Italja,Italùii,Italujo,Italya,Îtalya,İtalya,Itari,Itāria,’Itāria,Litaliyän,Olaszország,Repubblica Italiana,Taliansko,Talyaaniga,Ubutaliyani,Włochy,Ý,Yitale,Yn Iddaal,Yr Eidal,اېټاليا,ایتالیا,اطالیہ,إيطاليا,ئىتالىيە,איטאליע,איטליה,Ιταλία,Итали,Италиа,Италија,Италия,Италїꙗ,Итолиё,Італія,ཨི་ཏ་ལི།,ཨྀཊ་ལི་,Իտալիա,იტალია,इटली,इटाली,ઈટલી,ఇటలీ,ਇਟਲੀ,ಇಟಲಿ,இத்தாலி,ഇറ്റലി,ইটালী,ইতালি,အီတလီနိုင်ငံ,意大利	relation	365331	boundary	administrative	14.1885945	41.7035189	4	0.918894004585548					Italy	it	Italy	6.6272658	35.2889616	18.7844745	47.0921461	Q38	it:Italia	
Japan	일본,ጃፓን,ޖަޕާނު,ᓃᑉᐊᓐ,ଜାପାନ,ជប៉ុន,ປະເທດຍີ່ປຸ່ນ,ประเทศญี่ปุ่น,An tSeapáin,An t-Seapan,Binaʼadaałtzózí Dinéʼiʼ Bikéyah,Chapan,Chapón,Djapan,Ġappun,Giappone,Giapun,Hapõ,Hapon,Iapani,Iaponia,IJapani,IJaphani,Jaapan,Jaappaan,Jabaan,Jáhpan,Japán,Japana,Japāna,Japani,Japanujo,Japão,Japó,Japon,Japón,Japonia,Japonija,Japonska,Japonsko,Japonya,Jepang,Jepun,Nditbonj,Nhật Bản,Nihon,Nihun,Nipono,Sapoŋ,Tāpōnē,Ubuyapani,Xapón,Yapan,Yapän,Yaponiya,Ýaponiýa,Yn Çhapaan,Zapɔ́,اليابان,جاپان,ژاپن,ياپونىيە,יאפאן,יפן,Ιαπωνία,Жапония,Жопун,Иапониа,Јапан,Јапонија,Ꙗпѡнїꙗ,Япон,Япони,Япония,Японія,ཇཱ་པཱན།,རི་པིན།,Ճապոնիա,იაპონია,जपान,जापान,सूर्यमूल,જાપાન,జపాన్,ਜਪਾਨ,ಜಪಾನ್,ஜப்பான்,ജപ്പാൻ,জাপান,ဂျပန်နိုင်ငံ,ජපානය,日本	relation	382313	boundary	administrative	142.9514467	43.4339535	4	0.906709223998707					Japan	jp	Japan	122.7141754	20.2145810	154.2055410	45.7112045	Q17	ja:日本	
Russia	ራሻ,ሩሲያ,ᐅᓛᓴ,ロシア,러시아,ଋଷିଆ,ރޫސީވިލާތް,ລັດເຊັຽ,រុស្ស៊ី,ประเทศรัสเซีย,An Ruis,An Rúis,Biʼééʼ Łichííʼí Bikéyah,Errusia,Ezlozswh Lienzbangh,Federaasioŋ bu Riisi,Federåcion d' Rûsseye,Fédération de Russie,IRashiya,Krievija,Liên bang Nga,Lusia,Lūsia,Mpaghara Russia,Oroszország,Pederasyong Ruso,Raashiyaa,Rasha,Rashia,Ratsiya,Risi,Risila,Roosiya,Rosia,Rọ́síà,Rosja,Rossiya Federatsiyasi,Rrusia,Rūhia,Ruošša,Rusän,Rusí,Rusia,Rusïi,Rusija,Rusiya,Ruska Federacija,Rusko,Ruslân,Rusland,Ruslandi,Russi,Rússia,Rùssia,Russische Federatie,Russiýa,Russja,Russland,Rússland,Rusujo,Rûsya,Rusya Federasyonu,Rūtia,Ruushka,Rwasha,Rwsia,Ryssland,Shirikisho la Urusi,Uburusiya,Venäjä,Venemaa,Yn Roosh,روس,روٗس,روسیه,روسيا,روسىيە,רוסיה,רוסלאנד,Ρωσία,Оросын Холбооны Улс,Орусия,Раççей Патшалăхĕ,Расійская Федэрацыя,Ресей,Рәсәй,Росія,Росси,Российская Федерация,Россия,Россиялъул Федерация,Рочму,Рѡсїꙗ,Русија,Русия,Русь;Золотая Орда;Русское Царство;Российская Империя;Союз Советских Социалистических Республик,РФ,Уæрæсе,Урыстәыла,ར་ཤི་ཡཱན་ཕེ་ཌི་རེ་ཤཱན,ཨུ་རུ་སུ།,Ռուսաստան,რუსეთი,रशिया,रुस,रूस,રશિયા,రష్యా,ਰੂਸ,ರಷ್ಯಾ,உருசியா,റഷ്യ,রাশিয়া,ৰুশিযা,ရုရှားနိုင်ငံ,රුසියාව,俄罗斯	relation	60189	boundary	administrative	93.2130200	61.3352107	4	0.900267696876941					Russia	ru	Russia	19.4141518	41.1858711	-168.9769445	82.0586232	Q159	ru:Россия	
Spain	스페인,ᓯᐸᐃᓐ,スペイン,ସ୍ପେନ,እስፓንያ,އިސްޕެއިން,អេស្ប៉ាញ,ประเทศสเปน,An Spáinn,An Spàinn,Dibé Diníí Bikéyah,Esipanye,Espagne,Espaina,Espainia,España,Espanha,Espania,Espanja,Espanya,Espay,Hispaania,Hispania,Hispanujo,Hiszpania,Isbania,Ispaañ,Ispagna,Ispaña,Ispanija,Ispaniya,İspaniya,Ispaniýa,Ispaniye,İspanya,ISpeyini,Pain,Paniora,Pāniora,Reino de España,Sbaen,Sepanyol,Sepeni,Sihbanhyaz,Sipeyini,Spagn,Spagna,Spaña,Španělsko,Spania,Spánia,Španielsko,Spanien,Španija,Spānija,Spaniya,Spanja,Spanje,Španjolska,Spánn,Spanya,Spanyän,Spanyol,Spanyolország,Spayn,Spéìn,Spuenien,Tây Ban Nha,Yn Spaainey,إسبانيا,اسپانیا,ہسپانیہ,ספרד,שפאניע,Ισπανία,Испани,Испания,Испониё,Іспанія,Їспанїꙗ,Шпанија,ཞི་པན་ཡ།,སིཔཱེན་,Իսպանիա,ესპანეთი,स्पेन,स्पेन्,સ્પેન,స్పెయిన్,ਸਪੇਨ,ಸ್ಪೇನ್,எசுப்பானியா,സ്പെയിൻ,স্পেন,စပိန်နိုင်ငံ,西班牙	relation	1311341	boundary	administrative	-2.9459282	39.9648614	4	0.897882410899472					Spain	es	Spain	-18.3936846	27.4335426	4.5918885	43.9933088	Q29	es:España	
Poland	폴란드,ፖላንድ,ᐳᓚᓐᑦ,ポーランド,ޕޮލެންޑު,ପୋଲାଣ୍ଡ,ប្រទេសប៉ូឡូញ,ประเทศโปแลนด์,An Pholainn,A' Phòlainn,Ba Lan,Boland,Bupoolo,Gwlad Pwyl,IPholandi,IPolandi,Lengyelország,Lenkija,Poalen,Polagi,Polän,Polandi,Polandia,Pole,Polen,Poleni,Polija,Poljska,Pólland,Pologna,Pologne,Poloñ,Poloña,Polonha,Poloni,Pölôni,Polonia,Polónia,Polònia,Polonja,Polonya,Polonye,Poloonya,Polòy,Polşa,Polsha,Polska,Polsko,Poľsko,Polujo,Poola,Póolish Dineʼé Bikéyah,Poran,Pōrana,Puluña,Pulunya,Puola,RP,Rzeczpospolita Polska,Yn Pholynn,بولندا,پولشا,پولنډ,پولینڈ,لهستان,פוילן,פולין,Πολωνία,Лаҳистон,Полска,Полша,Пол҄ьска,Польш,Польшæ,Польша,Польшча,Польща,Пољска,ཕོ་ལན།,Լեհաստան,პოლონეთი,पोलैंड,पोलंड,पोल्याण्ड,પોલેંડ,పోలాండ్,ਪੋਲੈਂਡ,ಪೋಲೆಂಡ್,போலந்து,പോളണ്ട്,পোল্যান্ড,ပိုလန်နိုင်ငံ,පෝලන්තය,波兰	relation	49715	boundary	administrative	19.1954730	52.0179354	4	0.89229898543353					Poland	pl	Poland	14.1229707	49.0020468	24.1457830	55.0336962	Q36	pl:Polska	
Canada	ካናዳ,ᑳᓇᑖ,カナダ,캐나다,ކެނެޑާ,កាណាដា,କାନାଡ଼ା,ประเทศแคนาดา,Canadá,Canadà,Ceanada,Deeteel Bikéyah,IKhanada,Kanada,Kánada,Kanáda,Kanāda,Kanadá,Kánádà,Kanadaa,Kanadäa,Kanadaja,Kanadän,Kanado,ᑲᓇᑕ / kanata,Kānata,Kanatã,Tanata,Yn Chanadey,كانادا,كندا,کاناډا,کانادا,کینیڈا,קאנאדע,קנדה,Καναδάς,Канад,Канадæ,Канада,ཀེ་ན་ཌ་,ཁ་ན་ཌ།,Կանադա,კანადა,कनाडा,कॅनडा,केनडा,क्यानाडा,કેનેડા,కెనడా,ਕੈਨੇਡਾ,ಕೆನಡಾ,கனடா,കാനഡ,কানাডা,ကနေဒါနိုင်ငံ,加拿大	relation	1428125	boundary	administrative	-102.3022254	62.5063365	4	0.889098284193937					Canada	ca	Canada	-141.0027501	41.6765556	-52.3231981	83.3362128	Q16	en:Canada	
England	Anglaterra,Angleterre,Anglia,Anglicko,Anglie,Anglija,Anglujo,Anh,Engeland,Englanti,Ingelân,Inghilterra,İngiltere,Inglaterra,Linglän,Lloegr,Sasainn,Sasana,Sostyn,Αγγλία,Англия,Англія,英格蘭	relation	58447	boundary	administrative	-0.5402403	52.7954790	8	0.883048074613031				England	United Kingdom	gb	England, United Kingdom	-6.7047494	49.6740000	2.0919117	55.9170000	Q21	en:England	
